,등급,어휘,품사,길잡이말
1059,2급,행동,명사,행동에 옮기다
1060,2급,행복,명사,행복을 빌다
1061,2급,행사01,명사,오픈 행사
1062,2급,허리,명사,허리 사이즈
1063,2급,헤어지다,동사,친구와 헤어지다
1064,2급,헬스클럽,명사,헬스클럽에서 운동하다
1065,2급,혀,명사,혀를 내밀다
1066,2급,현금,명사,현금으로 결제하다
1067,2급,현재02/현재01,부사/명사,과거와 현재
1068,2급,형제,명사,아들 삼 형제
1069,2급,호랑이,명사,동물
1070,2급,호수02,명사,인공 호수
1071,2급,혹시,부사,혹시 모르면
1072,2급,홍차,명사,홍차를 마시다
1073,2급,화01,명사,화가 나다
1074,2급,화가,명사,화가의 그림
1075,2급,화나다,동사,화난 얼굴
1076,2급,화내다,동사,친구에게 화내다
1077,2급,화려하다,형용사,보석이 화려하다
1078,2급,화장품,명사,화장품을 바르다
1079,2급,환영02,명사,환영을 받다
1080,2급,환자,명사,암 환자
1081,2급,환전,명사,달러 환전
1082,2급,회01,의존명사,여러 회
1083,2급,회색,명사,색
1084,2급,회원,명사,회원을 모집하다
1085,2급,횡단보도,명사,횡단보도를 건너다
1086,2급,후배,명사,회사 후배
1087,2급,훌륭하다,형용사,작품이 훌륭하다
1088,2급,훨씬,부사,훨씬 많다
1089,2급,휴게실,명사,휴게실에서 쉬다
1090,2급,휴대폰,명사,휴대폰으로 전화하다
1091,2급,휴일,명사,휴일 계획
1092,2급,휴지,명사,휴지를 줍다
1093,2급,휴지통,명사,휴지통에 버리다
1094,2급,흐르다,동사,물이 흐르다
1095,2급,흔들다,동사,손을 흔들다
1096,2급,흘리다,동사,눈물을 흘리다
1097,2급,희망,명사,희망 사항
1098,2급,흰색,명사,색
1099,2급,힘,명사,힘이 세다
